Name|0
THAI ENERGY STORAGE TECHNOLOGY |1
SEVEN UTILITIES AND POWER ORS |2
AREEYA PROPERTY |3
ASIA AVIATION |4
AMATA B GRIMM PWPL.IFCF. |5
ADVANCED CONNECTION CORPORATION |6
ABSOLUTE CLEAN ENERGY |7
AUTOCORP HOLDING |8
ADVANCED INFO SER. |9
AEC SECURITIES |10
AE.THANA SINSAP (THAI.) |11
ASIA FIBER |12
ASIA GREEN ENERGY |13
AAPICO HITECH |14
AIKCHOL HOSPITAL |15
ASIAN INSULATORS |16
AIM COML.GW.FH.&. LH. REIT UNT. |17
AIM INDL.GW.FH.&. LH. REIT |18
ADVANCED INFO.TECH. |19
AJ PLAST |20
AJ ADVANCE TECHNOLOGY ORS |21
EKARAT ENGINEERING |22
ALLA |23
ALLY LEASEHOLD REAL ESTATE INVESTMENT TRUST |24
ALT TELECOM |25
ALUCON |26
AMANAH LEASING |27
AMARIN PRINTING & PBL. |28
AMATA |29
AMATA NVDR |30
AMATA VN |31
ASIA METAL |32
ANANDA DEVELOPMENT |33
AIRPORTS OF THAILAND |34
AP (THAILAND) |35
ASIAN PHYTOCEUTICALS |36
ASIA PRECISION |37
AGRIPURE HOLDINGS |38
AQ ESTATE |39
AQUA |40
ASIASOFT |41
SYNERGETIC AUTO PERFORMANCE |42
ASEFA |43
ASIA HOTEL |44
ASIAN SEA CORPORATION |45
ASIAN MARINE SERVICES |46
ASIA SERMKIJ LEASING |47
ASIA PLUS GROUP HDG. |48
ASSET WORLD |49
ALLIANZ AYUDHYA CAPITAL |50
BUALUANG OFFE.LH. REIT. |51
BEGISTICS ORS |52
B-52 CAPITAL |53
BANGKOK AIRWAY |54
BGK.AVIATION FUEL SVS. |55
BANGKOK COMMERCIAL ASSET MANAGEMENT |56
BANPU |57
BANK OF AYUDHYA |58
BANGKOK BANK |59
BANGKOK CHAIN HOSPITAL |60
BANGCHAK CORPORATION ORS |61
BCPG |62
BIRLA CARBON |63
BANGKOK DUSIT MED.SVS. |64
BEAUTY COMMUNITY |65
BEC WORLD |66
BANGKOK EXPRESSWAY AND METRO |67
SRISAWAD FINANCE |68
BG CONTAINER GLASS PUBLIC |69
B GRIMM POWER |70
BUMRUNGRAD HOSPITAL |71
BIG CAMERA |72
BERLI JUCKER |73
BJC HEAVY INDUSTRIES |74
BANGKOK DEC-CON |75
BANGKOK INSURANCE |76
BANGKOK COMMERCIAL PROPERTY |77
BANGKOK LIFE ASSURANCE |78
BANGKOK LAND |79
BHIRAJ OFFICE LEASEHOLD REIT |80
BANPU POWER |81
BANGKOK RANCH |82
BAAN ROCK GARDEN |83
BURIRAM SUGAR |84
BURIRAM SUG.GP. PWPL. INFRASTRUTURE |85
BANGSAPHAN BARMILL |86
BOUTIQUE NEW CITY |87
BTS GROUP HDG. |88
BTS RAL.MSTI.GW. INFR. |89
BANGKOK UNION IN. |90
BETTER WORLD GREEN |91
CARABAO GROUP |92
CAL-COMP ELTN.(THAI.) |93
CHONBURI CONC.PRODUCT |94
CAPITAL ENGR.NETWORK |95
CENTRAL PLAZA HOTEL |96
SEAFRESH INDUSTRY |97
COUNTRY GROUP DEV. |98
COUNTRY GROUP HOLDINGS |99
CHARAN INSURANCE |100
CHAYO GROUP |101
CHULARAT HOSPITAL |102
KGHSG.TRDG.FRZ.FOOD |103
CHARN ISSARA DEVELOPMENT |104
CIMB THAI BANK |105
CITY STEEL |106
CH KARNCHANG |107
CK POWER |108
CHIANGMAI FRZ.FOODS |109
CHEMEMANORD |110
CHIANG MAI RAM MED.BUS. |111
CHRISTIANI & NIELSEN |112
COM7 |113
SCG CERAMICSORD |114
CP ALL |115
CHAROEN POKPHAND FOODS |116
CASTLE PEAK HOLDINGS |117
CHUMPORN PALM OIL IND. |118
CPL GROUP |119
CENTRAL PATTANA |120
CPN COML.GW.LH.PR. |121
CPN RETAIL GROWTH LEASEHOLD REIT |122
CPT DRIVES AND POWER |123
C P TOWER GROWTH LEASEHOLD PROPERTY |124
COPPERWIRED |125
CHU KAI |126
CENTRAL RETAIL CORPORATION |127
CROWN SEAL |128
CSP STEEL CENTER |129
CITY SPORTS & RECREATION |130
COMMUNICATION & SYSTEM SOLUTION |131
CENTARA H&R.LH.PR. |132
CHAROONG THAI WIRE CAB. |133
CHAI WATANA TANNERY |134
DYNASTY CERAMIC |135
DCON PRODUCTS |136
DO DAY DREAM |137
DELTA ELECTRONICS |138
DEMCO |139
DIGITAL TELECOM.IFCF. |140
DOHOME |141
DUSIT THANI FH.&. LH. REIT |142
