ASIA AVIATION - TOT RETURN IND,ADVANCED INFO SER. - TOT RETURN IND,AIRPORTS OF THAILAND - TOT RETURN IND,ASIAN SEA CORPORATION - TOT RETURN IND,ASIA SERMKIJ LEASING - TOT RETURN IND,BGK.AVIATION FUEL SVS. - TOT RETURN IND,BANK OF AYUDHYA - TOT RETURN IND,BANGKOK BANK - TOT RETURN IND,BANGCHAK CORPORATION ORS - TOT RETURN IND,BANGKOK DUSIT MED.SVS. - TOT RETURN IND,BANGKOK EXPRESSWAY AND METRO - TOT RETURN IND,BANGKOK INSURANCE - TOT RETURN IND,BANGKOK LIFE ASSURANCE - TOT RETURN IND
87190C(RI),314926(RI),28530Q(RI),140261(RI),31572P(RI),15382P(RI),749549(RI),933079(RI),140346(RI),314898(RI),8836T4(RI),755194(RI),68032M(RI)
,7878.38,124.84,168.24,246.74,233.33,369.48,1368.55,62.34,5654.58,,3974.47,314.66
,7878.38,124.84,168.24,246.74,233.33,369.48,1368.55,62.34,5654.58,,3974.47,314.66
,7878.38,124.84,168.24,246.74,233.33,369.48,1368.55,62.34,5654.58,,3974.47,314.66
,8214.82,130.38,171.69,246.74,233.33,361.08,1350.72,62.34,5689.06,,3974.47,318.06
,8186.79,133.16,171.69,246.74,229.24,342.61,1306.14,62.34,5654.58,,3992.54,323.16
,8046.6,136.63,172.55,246.74,233.33,347.65,1306.14,61.68,5654.58,,3992.54,331.67
,8298.93,140.09,174.28,246.74,235.38,349.33,1323.97,62.67,5620.1,,4064.8,340.17
,8635.38,137.32,174.28,249,237.43,354.37,1323.97,63.33,5637.34,,4082.87,346.97
,8747.52,135.24,177.73,249,243.57,344.29,1306.14,63.33,5654.58,,4064.8,333.37
,8691.45,138.71,181.18,249,247.66,344.29,1319.51,63.66,5654.58,,4119,324.86
,8691.45,136.63,182.9,246.74,243.57,335.89,1315.05,62.34,5585.62,,4100.93,314.66
,8635.38,138.01,182.04,246.74,243.57,335.89,1323.97,62.67,5516.66,,4100.93,316.36
,8635.38,135.93,182.9,249,253.8,347.65,1355.17,63,5395.98,,4100.93,319.76
,8607.34,136.63,182.9,246.74,251.75,342.61,1341.8,62.01,5206.35,,4082.87,316.36
,8579.3,134.54,182.04,246.74,253.8,349.33,1359.63,62.67,5154.63,,4082.87,314.66
